service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AUG25-MVS-BUS-Holiday-11,0,0,0,1,0,0,0,20251127,20251127
AUG25-MVS-BUS-Reduced-11,0,0,0,0,1,0,0,20251128,20251128
AUG25-MVS-BUS-Saturday-11,0,0,0,0,0,1,0,20251101,20251129
AUG25-MVS-BUS-Sunday-11,0,0,0,0,0,0,1,20251102,20251130
AUG25-MVS-BUS-Weekday-11,1,1,1,1,1,0,0,20251103,20251205
AUG25-MVS-BUS-Weekday-14,0,1,1,0,0,0,0,20251104,20251126
AUG25-MVS-BUS-Weekday-15,0,0,0,0,1,0,0,20251107,20251107
AUG25-MVS-MTS-Holiday-01,0,0,0,1,0,0,0,20251127,20251127
AUG25-MVS-MTS-Reduced-01,0,0,0,0,1,0,0,20251128,20251128
AUG25-MVS-MTS-Saturday-01,0,0,0,0,0,1,0,20251101,20251129
AUG25-MVS-MTS-Sunday-01,0,0,0,0,0,0,1,20251102,20251130
AUG25-MVS-MTS-Weekday-01,1,1,1,1,1,0,0,20251103,20251205
AUG25-MVS-NS-Sunday-07,0,0,0,0,0,0,1,20251109,20251116
AUG25-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20251103,20251205
AUG25-MVS-SUB-Saturday-01,0,0,0,0,0,1,0,20251101,20251213
AUG25-MVS-SUB-Sunday-01,0,0,0,0,0,0,1,20251102,20251214
AUG25-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20251103,20251219
AUG25-MVS-UM-Saturday-01,0,0,0,0,0,1,0,20251101,20251129
AUG25-MVS-UM-Sunday-01,0,0,0,0,0,0,1,20251102,20251130
AUG25-MVS-UM-Weekday-01,1,1,1,1,1,0,0,20251103,20251205
AUG25-MVS-UM-Weekday-01-00045,0,0,0,1,1,0,0,20251103,20251205
AUG25-MVS-UM-Weekday-01-00123,1,1,1,0,0,0,0,20251103,20251205
AUG25-RAIL-Holiday-03,0,0,0,1,0,0,0,20251127,20251127
AUG25-RAIL-Reduced-01,0,0,0,0,1,0,0,20251128,20251128
AUG25-RAIL-Saturday-03,0,0,0,0,0,1,0,20251101,20251129
AUG25-RAIL-Sunday-03,0,0,0,0,0,0,1,20251102,20251130
AUG25-RAIL-Weekday-03,1,1,1,1,1,0,0,20251103,20251205
DEC25-MVS-BUS-Saturday-11,0,0,0,0,0,1,0,20251206,20251213
DEC25-MVS-BUS-Sunday-11,0,0,0,0,0,0,1,20251207,20251214
DEC25-MVS-BUS-Weekday-11,1,1,1,1,1,0,0,20251208,20251219
DEC25-MVS-MTS-Saturday-01,0,0,0,0,0,1,0,20251206,20251213
DEC25-MVS-MTS-Sunday-01,0,0,0,0,0,0,1,20251207,20251214
DEC25-MVS-MTS-Weekday-01,1,1,1,1,1,0,0,20251208,20251219
DEC25-MVS-NS-Sunday-01,0,0,0,0,0,0,1,20251207,20251207
DEC25-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20251208,20251219
DEC25-MVS-UM-Saturday-01,0,0,0,0,0,1,0,20251206,20251213
DEC25-MVS-UM-Sunday-01,0,0,0,0,0,0,1,20251207,20251214
DEC25-MVS-UM-Weekday-01,1,1,1,1,1,0,0,20251208,20251219
DEC25-MVS-UM-Weekday-01-00045,0,0,0,1,1,0,0,20251208,20251219
DEC25-MVS-UM-Weekday-01-00123,1,1,1,0,0,0,0,20251208,20251219
DEC25-RAIL-Saturday-01,0,0,0,0,0,1,0,20251206,20251213
DEC25-RAIL-Sunday-01,0,0,0,0,0,0,1,20251207,20251214
DEC25-RAIL-Weekday-01,1,1,1,1,1,0,0,20251208,20251219
